예쁜;아름다운,멋진,고운
남녀;남성과 여성,남성이나 여성
날씨;기상,기후,날씨상태
나그네;여행자,방랑자,순례자
나무;수목,목재,숲
낙엽;단풍,가을잎,떨어진잎
나라;국가,왕조,조선
노인;연로한사람,늙은이,늙은사람
노래;노래하다,노래부르다,노래방
나가다;나오다,출발하다,떠나다
나누다;분배하다,나누어놓다,공유하다
나타나다;나오다,드러나다,눈에띄다
나무지다;나무를베다,나무를꺾다,쓸리다
낫다;회복되다,나아지다,개선되다
남다;남아있다,남겨두다,빠지지않다
남기다;남겨두다,기억에남다,유산으로남다
나빠지다;악화되다,나쁘게되다,나쁜상태가되다
나아가다;진행하다,나아갈다,전진하다
나무란다;나무를하다,헐다,베다
남자다운;남성다운,당당한,우뚝한
남쪽으로;남으로,남쪽방향으로,아래쪽으로
나중에;이따가,후에,다음에
낮잠자다;낮잠자다,낮잠자는,낮잠자는사람
나날이;날이갈수록,시간이지나면서,점점더
날마다;매일,매일매일,일일이
나머지는;그외에,남은부분,나머지부분
나를위해;나를위하여,나
낯설다;익숙하지않다,생소하다,새로운
낭만적인;로맨틱한,감상적인,감성적인
나쁘다;좋지않다,심술궂다,교활하다
나태한;게으른,느린,태만한
날쌘;빠른,신속한,빠르게움직이는
낮은;작은,낮은단계의,수준이낮은
나쁨없이;잘,문제없이,원활하게
나중;이후에,이따,이후
난;나는,나도,내가
남;다른사람,상대방,타인
날;하루,일,시간
남편;배우자,남자친구,아내의남편
낫다;좋다,나아졌다,괜찮다
나;그래,응,맞아
낭만적이다;로맨틱하다,감상적이다,감동적이다
남녀동반;남자와여자,남녀,남자와여자가함께하는
남과여;남자와여자,남녀,남자와여자가함께하는
난지한;한편으로는,반면에,하지만
난리가나다;큰일이벌어지다,매우떠들썩하다,소란스럽다
나아가;그리고,그리하여,더욱이
난 느끼다;나는 느낀다,나는 생각한다,내게는 느껴진다
나오다;내면에나오다,마음속에서나오다,자연스럽게나오다
낫게하다;더좋게만들다,개선하다,발전시키다
낮은소리;작은소리,살소리,소근소근한소리
나머지사람;다른사람,이외의사람,나머지부분의사람
남의자식;타인의아이,남의아들,다른사람의
너;당신,그대,당신의
네;그래,응,맞아
나;저,제,내
누구;누가,누군가,어느누구
노랗게;황색으로,노란색으로,황홀하게
남녘으로;남쪽으로,남쪽으로가는,남쪽
남다르게;다르게,특이하게,독특하게
노력하다;열심히하다,노력을다하다,분발하다
눈에띄게;뚜렷하게,분명히,눈에띄도록
넘어서;넘어가서,넘어갔을때,넘어가면
노력으로;노력으로,열심히하면,노력해서
능력에따라;능력에의해,능력에따라서,능력에따른
눈높이에서;눈높이에,눈높이까지,눈높이로
남과같이;다른사람들과함께,함께,다른사람과
내일;다음날,내일은,다음날은
네트워크;인터넷,네트워크시스템,통신망
노래;노래곡,가요,음악
눈물;눈물을흘리다,눈물나다,눈물겹다
남자;남성,남성인,사내
남기다;기억하게하다,남아있다,남겨두다
노래하다;노래부르다,노래를불러,가수로활동하다
나오다;나타나다,나와,등장하다
누르다;눌러,압박하다,조이다
내뱉다;외치다,말하다,고하다
놀랍다;놀라움,놀랐다,놀라워
낭만적이다;감동적이다,로맨틱하다,감상적이다
다양한;다른,여러가지,다양성
대단한;엄청난,놀라운,멋진
독특한;유니크한,특이한,독창적인
두꺼운;두터운,두툼한,튼튼한
무서운;무시무시한,무섭다,두려운
다시;다시한번,재차,되풀이하여
대체로;대략,보통,대개
동시에;한번에,동시에,동시에일어난
또한;또,게다가,더욱이
무조건;반드시,꼭,필히
다음에;그다음,이어서,차례로
대해;대해서,관해서,대하며
도중에;중간에,도중,중간
또는;혹은,또는다른,아니면
무엇보다;가장,무엇보다도,최고로
다음;그다음,차례,다음번
대화;대화하다,대화내용,대화상대
동료;직장동료,동료사람,동업자
또래;동갑내기,친구,같은나이
무엇;뭐,무슨,어떤
다가오다;다가서다,다가간다,다가오면
대체하다;바꾸다,교체하다,대신하다
도와주다;돕다,지원하다,협조하다
똑같다;같다,동일하다,똑똑하다
무너지다;무너뜨리다,붕괴하다,와해되다
다시;다시한번,다시는,왜다시
대단해;멋있다,대단하다,대단하네
도와줘;도와주세요,구해줘,도와줄래
똑똑하다;영리하다,똑똑해,머리가좋다
무슨;어떤,뭐,무슨일
다른;다른종류,다른사람,다른방법
대부분의;대다수의,대체로,주로
독일한;같은,유사한,동일한
두 개의;두,두개,두개의
무수한;많은,수많은,무한한
다른;다른사람,다른것,다른방법
대부분;대부분의,대다수,주로
도대체;왜,어째서,무엇때문에
둘;둘다,두사람,둘째
무엇인가;뭐,무슨,어떤것
다만;하지만,그러나,그렇지만
대개;대체로,보통,대부분



다정한;친절한,다정스러운,상냥한
대단한;놀라운,대단스러운,멋진
동경하는;존경하는,동경스러운,존경스러운
똑똑한;영리한,똑똑스러운,머리가좋은
무서운;무섭고,무시무시한,무서워하는
다;모두,전부,다양한
대해;대해서,관해서,대하여
도;또한,그리고,더불어
둘 중에;둘 중 하나,둘 중 하나를,둘 중 하나로
무려;엄청,굉장히,대단히
다만;하지만,그러나,그렇지만
대신;그 대신,대신하여,대신해서

둘째;둘째로,그 다음,둘째는
무엇보다;가장,무엇보다도,최고로
다시;다시한번,다시는,왜다시
대단해;멋있다,대단하다,대단하네

노트북;휴대용 컴퓨터,노트북컴퓨터,노트북PC
나무;숲,수목,나무들
담배;담배꽁초,담배연기,담배패키지
물고기;어류,물생물,생선
다이어리;일기장,다이어리노트,일기노트
노르웨이;북유럽 국가,오슬로,노르웨이어
나미비아;아프리카 남서부 국가,윈도후크,나미비아어
덴마크;북유럽 국가,코펜하겐,덴마크어
라오스;동남아시아 국가,비엔티안,라오어
마케도니아;발칸 반도 국가,스코페,마케도니아어
노랑;황색,옐로우,누런한
남색;어두운 파랑,인디고,블루
검정;흑색,블랙,어두운색
녹색;초록색,그린,빛나는색
보라;자주색,퍼플,라벤더
나무꾼;화단꽃,국화,크리스마스 장식용 꽃
미나리;야채,나물,냉면재료
라벤더;향기로운 식물,에센셜오일,라벤더차
녹차;차,허브차,일본차
나팔꽃;꽃,국화과,인조꽃
낙타;사막 동물,이중근육,낙타우유
너구리;포유류,잡식동물,물고기 잡아먹음
노루;산림동물,토끼과,노루고기
닭;가금류,닭고기,알
돌고래;고래류,멸종위기,이례적인 해양동물
냉면;물냉면,비빔냉면,칼국수
닭볶음탕;매운탕,한국음식,고기요리
라면;면,스낵,불닭볶음면
나물비빔밥;비빔밥,한식,채소요리
떡국;떡,국물,한국음식
남극;대륙,남쪽끝,얼음대륙
뉴욕;도시,미국 동부,뉴욕시
달라스;도시,미국 텍사스주,이민도시
노르웨이;나라,북유럽,오슬로
대한민국;나라,동아시아,서울
남자;남성,머리카락,성인
노인;늙은이,시니어,어르신
노래방;노래,취미,노래연습장
나무꾼;직업,나무꾼신발,나무꾼가방
대통령;정치인,국가수립자,대표인물
노트북;휴대용컴퓨터,노트북충전기,노트북배터리
난방기;난방장치,히터,보일러
냉장고;냉동고,냉장고문,냉장고김치통
믹서기;주방가전,블랜더,만능믹서
디스플레이;모니터,TV화면,LCD화면
나침반;방향탐색,나침반속어,나침반스마트폰앱
눈사람;눈,눈싸움,눈사람만들기
노트;필기용품,수첩,일기쓰기
다리미;다림판,다리미판,다리미커버
도넛;과자,달달한 음식,도넛가게
나우유씨미;드라마,로맨스,청춘영화
노트북;미스터리,스릴러,현대소설
대부;범죄영화,마피아,고전영화
러브 액츄얼리;로맨스,연애,감동영화
레미제라블;뮤지컬,사상극,역사영화
낚시;레저스포츠,낚시장비,강낚시
노래;가요,노래연습,노래자랑
달리기;운동,조깅,건강
미술;예술,그림,큐레이팅
나이트클럽;볼링,클럽,댄스파티
당구;스포츠,대회,공
레슬링;격투기,팔씨름,전투기
롤러블레이딩;인라인스케이트,스케이트보드,엑스게임
수영;수영장,헤엄,수영복
낙타;사막동물,울음소리,수렵
늑대;포식자,야생동물,식육동물
라마;낙타,안경쟁이,라마운트
레오파드;큰고양이,포식자,멋쟁이

남색;청록색,블루,진한파랑
노랑;황색,빛깔,주황
빨강;붉은색,적색,농밀한 색
검정;까만색,어두운색,총명한 색
흰색;백색,창백한 색,순백색
나무;숲,나무열매,자연
녹차;차,녹차향,보양차
단호박;호박,먹는호박,호박스프
다육식물;실내식물,다육질,다육공예
데이지;꽃,화단,화초
나물무침;밑반찬,채소,부침개
냉면;한식,냉면사리,물냉면
닭갈비;닭고기요리,양념,바베큐
두부;콩,유부,두부요리
라면;스프,면,라면순한맛
건강;피트니스,웰빙,건강증진
운동;체력단련,역동적인 활동,피트니스
스트레스;긴장,압박,갈등
수면;잠,휴식,수면유도제
담배;담배연기,담배피우기,담배줄이기
음주;알코올,주정,증류주
질병;병,건강문제,이환
예방;예방조치,예방법,예방접종
건강검진;진단,검사,건강체크
비만;과체중,체중과다,비대위
당뇨;고혈당,인슐린저항성,당뇨병
고혈압;혈압상승,고혈압증후군,고혈압질환
심장병;심혈관질환,심장질환,심부전
암;종양,암세포증식,암환자
감염병;전염성질환,감염질환,감염병균
건강보험;의료보험,건강보장,보험료
건강한 생활;건전한 삶,건강한 습관,건강한 라이프스타일
건강식품;건강기능식품,영양보충제,건강보조식품
건강한 식습관;균형잡힌 식습관,건강한 식생활,영양균형식
건강캠페인;건강증진 캠페인,건강홍보,건강교육
보건;건강보호,보건의료,보건복지
영양;영양학,영양소,영양가
유산소 운동;유산소활동,유산소트레이닝,유산소운동
근력운동;저항운동,근력강화,근력증진
스포츠;운동경기,경기활동,스포츠활동
노인 건강;노인보호,노인건강관리,노인복지
아동 건강;육아건강,어린이건강,아동보호
청소년 건강;청소년보호,청소년건강관리,청소년복지
면역력;면역체계,면역반응,면역력
면역증강;면역활성화,면역증진,면역강화
면역저하;면역억제,면역감소,면역저하증후군
면역부전;면역불능,면역감소,면역저하
면역반응;면역반응성,면역반응능,면역관련반응
면역방어;면역방어력,면역방어체계,면역방어기능
면역보조제;면역강화제,면역보강제,면역보호제
면역항체;면역제,면역항체제,면역결합제
면역세포;면역구,면역세포계,면역세포군
면역종양항원;면역종양치료제,면역종양마크제,면역종양항체
대화;대화,상담,진단
도전;도전,시련,난제
덕목;덕목,덕의,덕분
달걀;달걀,계란,알
두려움;두려움,공포,겁
대상;대상,객체,타겟
독립;독립,자주,자립
다리;다리,발목,무릎
동료;동료,친구,협력자
도시;도시,동네,마을
되돌리다;되돌리다,되돌아가다,복귀하다
닦다;닦다,씻다,광내다
던지다;던지다,투척하다,배척하다
대하다;대하다,다루다,대접하다
듣다;듣다,청취하다,귀기울이다
도와주다;도와주다,지원하다,협력하다
덮다;덮다,가리다,감추다
뛰다;뛰다,달리다,미치다
되다;되다,생기다,이루어지다
돌리다;돌리다,회전시키다,방향을 바꾸다

도저히;도저히,전혀,결코
단연;단연,명백하게,분명히
대체로;대체로,대략,대부분
다시;다시,재차,다음에
대개;대개,대부분,보통
동시에;동시에,함께,동반에
더욱;더욱,더더욱,더욱이
대략;대략,대체로,대개
단순히;단순히,간단히,단지
도중;도중,중간에,가운데
도와주다;돕다,지원하다,원조하다
던지다;던짐,던지기,던지는
되돌리다;돌리다,복원하다,되돌아오다
되먹이다;다시 먹이다,재생하다
떨어지다;내리다,떨어져서,하락하다
뜨다;떠오르다,올라오다,부풀다
대다;맞서다,대치하다,대응하다
되돌아보다;회상하다,추억하다
달아나다;도망가다,도주하다,이탈하다
덜다;줄이다,감소하다
대단히;매우,극도로,매우 크게
더욱;더,한층,더 더욱
단독으로;독립적으로,개별적으로,혼자서
대개;대부분,대체로,대다수
대략;대충,대개,대체로
도대체;왜,도대체로,도대체 무엇
더불어;함께,동시에,공동으로
더불어서;함께,동시에,공동으로
대체로;대략,대체적으로,대개
단편적으로;일부,일부분,조각조각
다르다;차이가 나다,다양하다,갈등하다
더러운;더럽다,지저분하다,오염되다
독특하다;독창적이다,특이하다,개성있는
뒤늦은;늦은,지연된,늦게 일어난
답답한;좁은,갑갑한,억울한
더운;더위가 나는,열기가 높은,뜨거운
대단한;대단히,장대한,엄청난
도움이 되는;도움이 되다,유익한,쓸모 있는
따뜻한;따듯한,온기가 나는,다정한
떨리는;떨리게 하는,떨려서,흥분한
단어;어휘,용어,단어장
도움;지원,지원금,보조금
대통령;대통령직,대통령선거,정치인


사과;사과
바나나;바나나
오렌지;귤,오렌지
파인애플;파인애플
딸기;딸기

피자;pizza
스파게티;파스타
샐러드;야채


클래식;고전음악
팝;대중음악,리듬,댄스
힙합;뮤직



축구;풋볼,축구
야구;베이스볼,야구
농구;드리블,덩크슛,슈팅가드



사랑;애정,연애,정애,짝사랑
삶;인생,생명,생활,존재,존속
죽음;사망,종지부,서거,파멸
가족;친족,친구,집안,가정,가문
여행;여유,관광,해외여행,국내여행,캠핑
꿈;몽상,상상,환상,비전
미래;장래,전망,전망치,전도,예상
성장;발전,진보,향상,개화,육성
인간관계;대인관계,인맥,친분,신뢰,갈등
교육;학문,교육학,교육과정,교육방법,교육정책

나그네;여행자,방랑자,유랑자
도시;도시지역,도시생활,대도시
기억;추억,회상,기억력
고통;아픔,괴로움,슬픔
행복;즐거움,만족감,안락함


대화하다;이야기하다,상담하다,말을 나누다
발생하다;일어나다,생기다,발달하다
지속되다;계속되다,유지되다,지속적으로 이어지다
변화하다;변동하다,바뀌다,변모하다
달성하다;성취하다,완수하다,이루다


다양한;여러 가지의,다채로운,다양성이 있는
높은;상당한,위대한,중요한
작은;작고 소규모의,얼마 안 되는,작아지는
빠른;신속한,빠르게 움직이는,빠르게 반응하는
어두운;어둑한,어두운 색의,밝지 않은


가볍게;경쾌하게,부드럽게,가볍게 움직이며
함께;함께하는,동반하여,동시에
자주;종종,빈번하게,계속해서
빠르게;신속히,빠른 속도로,빠르게 진행되는
조용히;고요하게,조용한 상태로,소리 없이


위에;위쪽에,상단에,앞서서
아래;하단에,아래쪽에,밑에
중간에;가운데에,중앙에,중간 지점에서
앞으로;앞쪽으로,미래에,앞을 향해서
뒤로;뒤쪽으로,과거에,뒤를 향해서


아하;어떻게든,예상치 못하게,놀라워하며
어머;놀람,경악,놀랍게 생각하며
와;놀람,경악,놀랍게 생각하며
이런;놀람,경악,놀랍게

머리;두피,머리카락,탈모,샴푸,헤어스타일,가발
집;주택,아파트,건물,빌딩,노후주택,부동산
자동차;차량,자동차종류,모터사이클,트럭,교통수단
음식;식사,요리,음식종류,레시피,맛집,조리법
운동;운동종목,헬스,스포츠,실내운동,야외운동


가다;이동하다,움직이다,여행하다,이동수단을 이용하다,이동하다
보다;관찰하다,살피다,주시하다,시청하다,감상하다
먹다;식사하다,드시다,소화하다,먹거리를 먹다,급식하다
일어나다;기상하다,일어나다,일어나다,일어나다,바로잡다
생각하다;고민하다,숙고하다,고려하다,아이디어를 생각하다,뇌를 쓰다
생각한다.;생각합니다.,생각됩니다.


예쁘다;아름답다,멋있다,고운,미남/미녀,경쾌한
바쁘다;붐비다,바빠하다,여유없다,정신없다,일당백한
귀엽다;귀여워하다,애교있다,사랑스럽다,참기름있다,귀여운
행복하다;기쁘다,흐뭇하다,만족스럽다,희열적이다,만족스러운
슬프다;우울하다,비통하다,서럽다,안타깝다,가슴 아픈


자주;빈번하게,반복적으로,수시로,빈번하게,빈번한
매우;매우,매우,매우,매우,매우
조금;약간,다소,살짝,소량의,근소한
아주;극도로,극히,대단히,굉장히,심하게,엄청나게
가끔;가끔,때때로

물고기;어류,해산물,어종
나무;숲,수목,목재
학교;교육기관,대학,고등학교
하늘;천장,우주,하늘색
컴퓨터;전산장치,디지털,인터넷


대화하다;이야기하다,상의하다,의논하다
먹다;섭취하다,먹어치우다,식사하다
사랑하다;애정을 품다,연인이 되다,미워하다
달리다;뛰어가다,출발하다,주행하다
생각하다;고민하다,상상하다,이야기하다


예쁘다;아름답다,멋지다,귀엽다
빠르다;신속하다,민첩하다,급속하다
크다;거대하다,커다란,광활하다
작다;작은,소형의,미세한
어렵다;어려운,곤란한,복잡한


자주;종종,빈번하게,빈적거리며
매우;대단히,극도로,정말로
가끔;때때로,가끔가다,불규칙적으로
조금;약간,살짝,적당히
빨리;신속히,급히,빠르게


위;위쪽,윗부분,상단
아래;아래쪽,아랫부분,하단
앞;앞쪽,전방,전면
뒤;뒷쪽,후방,후면
사이;중간,가운데,사이에


와;어머,야호,대단해
아;아이고,아하,아야
오;어이,오호,오우
헐;와우,어이쿠,진짜
응;예,그래,알았어



보다;살피다,관찰하시다
나누다;나눠드리다,나누어드리다
내놓다;드리다,선보이시다
넘다;넘어지시다,뛰어넘으시다
느끼다;느끼시다,느끼시는 것 같다
닦다;닦으시다,깨끗하게 하시다
더하다;더하시다,증가하시다
먹다;드시다,섭취하시다
보내다;보내시다,발송하시다
비추다;비춰주시다,가리키시다


나쁘다;좋지 않으시다,불량하시다
낮다;낮으시다,짧으시다
넓다;넓으시다,광대하시다
높다;높으시다,고상하시다
어렵다;어려우시다,곤란하시다
외롭다;외로우시다,고독하시다
작다;작으시다,소규모이시다
지겨롭다;지루하시다,무미건조하시다
적다;적으시다,부족하시다
좁다;좁으시다,협소하시다

오릅니다;향상됩니다,발전합니다,진행됩니다
건강합니다;건강하다,건장합니다,건강상태가 좋습니다
좋습니다;좋아집니다,나아집니다,개선됩니다
발전합니다;진전합니다,진행됩니다,전개됩니다
높습니다;상승합니다,증가합니다,높아집니다
부족합니다;미달됩니다,결핍됩니다,부족하다
어렵습니다;난해합니다,어렵다,이해하기 어렵습니다
적습니다;감소합니다,줄어듭니다,적어집니다
낮습니다;하락합니다,감소합니다,낮아집니다

걷습니다;걸어갑니다,돌아다닙니다,산책합니다
달립니다;뛰어갑니다,질주합니다,이동합니다
먹습니다;드십니다,섭취합니다,식사합니다
마시습니다;드시다,음용합니다,마셔요
생각합니다;고민합니다,고려합니다,사색합니다
좋아합니다;선호합니다,애호합니다,기호합니다
싫어합니다;반대합니다,거부합니다,증오합니다
부럽습니다;부러워합니다,부족합니다,억울합니다
예쁩니다;아름답습니다,우아합니다,멋있습니다
멋집니다;멋있습니다,세련됩니다,고상합니다

가진달립니다;가진달립니다,가속합니다,빠르게 움직입니다
부담됩니다;부담됩니다,어렵습니다,어려움을 겪습니다
달라집니다;달라집니다,변화합니다,바뀝니다
되돌립니다;되돌립니다,되돌아갑니다,되돌아봅니다
떠나갑니다;떠나갑니다,떠납니다,떠날 예정입니다
바라봅니다;바라봅니다,감상합니다,관찰합니다
발전됩니다;발전됩니다,개선됩니다,향상됩니다
번져나갑니다;번져나갑니다,번지며 퍼져나갑니다,확산됩니다
복잡해집니다;복잡해집니다,복잡해지며 어려워집니다,혼란스러워집니다
불안해집니다;불안해집니다,걱정됩니다,불안감이 생깁니다
생각합니다;생각합니다,고민합니다,추구합니다
설득합니다;설득합니다,이야기합니다,권유합니다
소개합니다;소개합니다,알리고 있습니다,소개하는 중입니다
소중히 여깁니다;소중히 여깁니다,소중하게 생각합니다,중요하게 여깁니다
신뢰합니다;신뢰합니다,믿습니다,믿음이 갑니다
알리고 있습니다;알리고 있습니다,알려드립니다,소개합니다
열심히 합니다;열심히 합니다,열심히 노력합니다,최선을 다합니다
오르갑니다;오르갑니다,상승합니다,증가합니다
완성됩니다;완성됩니다,완성되어 갑니다,마무리됩니다
이루어집니다;이루어집니다,달성됩니다,성취됩니다
재미있습니다;재미있습니다,즐겁습니다,기쁩니다
즐겁습니다;즐겁습니다,기쁩니다,만족합니다
책임져봅니다;책임져봅니다,책임감을 가지고 일합니다,빚집니다

오르다;상승하다,증가하다,올라가다
건강하다;건전하다,튼튼하다,원기왕성하다
좋다;좋아지다,만족스럽다,기분 좋다
발전하다;진보하다,성장하다,향상되다
높다;높아지다,상승하다,오르다
부족하다;모자르다,불충분하다,부족하다
어렵다;어려워지다,까다롭다,어려운 상황이다
적다;줄어들다,감소하다,줄이다
낮다;낮아지다,하락하다,내려가다

오름찮습니다;쇠약합니다,힘이 없습니다,피곤합니다
건강합니다;건강해집니다,건강이 회복됩니다,건강해지십니다
좋습니다;좋아집니다,좋아지십니다,좋아합니다
발전합니다;발전하십니다,발전됩니다,나아갑니다
높습니다;높아집니다,높아지십니다,높아집니다
부족합니다;부족하십니다,더 필요합니다,부족합니다
어렵습니다;어렵습니다,어려워지십니다,어려워합니다
적습니다;적어집니다,적어지십니다,적습니다
낮습니다;낮아집니다,낮아지십니다,낮습니다

달립니다;이동합니다,쫓습니다,미칩니다,달아납니다
떨립니다;진동합니다,떨고 있습니다,흔들립니다,떨어집니다
놀립니다;조롱합니다,모욕합니다,놀려대다,놀리다
치울립니다;신경 쓰이다,적극 대처하다,처리하다,해소하다
버립니다;폐기합니다,버리다,물리치다,떨쳐내다
넘칩니다;오버합니다,초과합니다,흘러넘칩니다,다량으로 들어옵니다
당길립니다;끌어당기다,애를 먹다,자극받다,긴장하다
뒤질립니다;따라잡히다,뒤쳐지다,쫓기다,열악한 실적을 거두다
흥청망청하다;거만하다,떠벌리다,과시하다,자랑하다
지워집니다;삭제됩니다,사라집니다,지워진다,지우다

사무실;사무실용품,업무,사무실 장비
음식;식사,요리,음식 재료
여행;관광,숙박,여행 가이드
건강;건강 관리,의학,건강 정보
문화;문화 예술,역사,전통 문화
생활용품;가전 제품,생활 용품,가구
경제;경제학,금융,산업
교육;학습,교육학,학교
예술;미술,음악,연극
자동차;자동차 부품,운전,차량 유지 보수

견문;살펴보다,관찰하다,조사하다
견문서;서류,문서,서면
견물생심;열심히 노력하여 일을 성공시키려는 마음가짐,노력
견본;샘플,샘플링,시료
견본품;샘플,시료,모형
견사;일감,업무,임무
견성;능력,기량,재능
견습;인턴십,수습,적응
견습공;수습공,인턴,학생기자
견습기자;수습기자,인턴,학생기자
견실;꼼꼼한,성실한,충실한
견우성;체력,능력,근성
견유;빚,부채,빚진 돈
견인;추진,도움,지지
견인차;트럭,짐차,트레일러
견장;체구,체격,키
견적서;견적,가격표,비용 산출서
견제;제어,억제,억압
견제구;의제,정책,법규
견제력;통제력,영향력,지배력
견주다;지배하다,감독하다,통제하다
견지;가축,짐승,동물
견직물;청바지,청사포,데님
견질;견고함,튼튼함,힘차게 버틸 수 있는 힘
견책안;규제안,감시안,제한안
견학;수학여행,견학,현장학습

견해;의견,생각,견지

견해차;의견의 차이

겯다;엮이다,결합되다

결가부좌;걸음마,초보자

결강;결함,부족함

결격;적격이 아님,배제,탈락

결계;경계,경계선,구분선

결곡;계곡,골짜기

결과;결과물,성과,결론

결과론적;결과적으로,후에 생각해보면

결과물;제작물,생산물,아웃풋

결과적;결과를 초래하는,결과를 가져오는

결구;결함,불량,결점

결국;마지막으로,최종적으로

결근;결석,결원,결손

결기;분리,해체,분해

결단;판단,결정,정하기

결단력;판단력,결정력,실천력

결단식;결정식,행사

결단코;단호히,분명하게

결딴;달성,성취

결딴나다;성과를 내다,달성되다

결락감;부재감,결여

결렬;실패,무산,참수

결례;결혼식,결혼 의식

결론;결정,결과,결심
결론적;결정적인,결정적으로,결말적인
결론짓다;결정하다,결말을 맺다,결정을 내리다
결리다;맞붙다,부딪치다,맞설다
결막;점막,점막막,점막조직
결말;마무리,끝,마지막
결말부;결말선언,결말을 맺는 장면,결말이 미묘하게 묘사되는 부분
결말짓다;결말을 만들다,결론을 내리다,결론을 내리게 하다
결명자차;차명을 결정하다,결혼 신고서,결혼 공고서
결박;구속,속박,제한
결박당;선거제도상 당별 연대 결성,당 지지자,당 원들
결방;중지,취소,취소되다
결백;무죄,무죄임,죄 없음
결백성;무죄임,무죄임을 입증하는 능력
결번;번호가 빠져나가다,번호가 걸러지다,빠지다
결벽;담배열림,구멍,구멍막이
결벽성;담배열림 성,담배열림이 유발하는 질병
결벽증;담배열림 증,폐결절,폐종양
결별;이별,헤어짐,헤어지다
결부;유대,연관,관련

결사반대;반대 의견 제시,반박
결사적;결단력 있는,대담한,대단히 열정적인
결산;정산,회계 보고서
결석;결석하다,결석자
결속;단결,결합,연결,유대
결속력;강한 결합력,인연력
결속성;결속되어 있는 성질,결합성
결손;결함,빠짐,부족함
결승;결판,마지막 경기,최종전
결승선;경주에서의 마지막 선,종점
결승전;결판을 내리는 경기,최종전
결승점;경주에서의 마지막 점,종점
결식;식량 부족,고통스러움,불안
결실;열매,성과,성취
결심;굳은 결심,마음먹기,결정
결여;부족,빠짐,결핍
결여론자;결여론을 주장하는 사람,결핍론자

결연히;단단하게,확고하게,강력하게,결정적으로
결열;불화,갈등,대립,불화상태,싸움
결의;결심,의지,결단,확고한 의지,다짐
결의문;선서문,서약서,맹세서,결의서
결의서;결의문,서약서,선서문,맹세서
결장;대장,지배자,리더,정신적 지주,지배력자
결재;지급,지불,지불금,지불서류,결제
결재권자;승인자,결제자,지불권자,지불승인자
결재받다;받다,수령하다,인수하다,지불받다,지급받다
결전;전투,싸움,대결,전쟁,군사작전
결전장;전장,전투장,군사작전장,대결장,싸움터
결절;덩어리,응고체,결절물,결절조직,종양
결절점;절반점,결정적 시점,전환점,극한점,기준점
결점;결함,결함점,부족점,약점,불완전함
결정;판단,결심,확정,결단,정의
결정권;결정력,결정권한,통제력,지배력,판단권
결정권자;결정자,지배자,통제자,주도자,리더
결정나다;결심되다,확정되다,판결되다,정해지다,결정되다
결정력;결단력,판단력,확신력,확정력,강력함
결정론;인과관계론,원인과 결과의 관계,규칙적 원인론
결정론적;원인과 결과에 대한 규칙성에 관한,결정론적인
결정문;선서문,결의서,서약서,맹세서,서류
결정자;결정을 내리는 사람,지배자,주인,주체,주도자
결정적;결정적인,판단적,결정하게 만드는,중요한,적극적인
결정주의적;결정주의에 기반을 둔,결단력이 있는,결정을 중요시하는
결정짓다;결정을 내리다,결단

결제;지불,지급,지불금,지불서류,결재
결제일;지불일,납부일,계산일,청구일
결집;모이다,모이게 되다,결합,결속
결집력;결합력,단결력,단합력,모집력
결코;절대로,전혀,결코로,결코도
결탁;의지,신뢰,의뢰,의뢰하다,맡기다
결투;대결,승부,겨루기,결투하다
결판;결론,결정,확정,결정되다
결판나다;결론이 내려지다,결정되다,확정되다
결핍;부족,결여,불충분,부족함,결함
결핍증;결핍증상,결핍병,결핍증세,결핍증후군
결함;결점,결함점,약점,불완전함,결여
결합;결합하다,합체,연합,단결,동조
결합기;연결기,커넥터,플러그,어댑터,인터페이스
결합력;결합력,매력,매인력,인력,매혹력
결합성;결합력,매력,매인력,인력,매혹력
결합적;결합성이 있는,연관성이 있는,연결된,합쳐진,연합된
결합점;연결점,매핑점,연결부위,연결지점,결합지점
결합체;합체,결합물,결합체계,결합화합물
결항;탑승거부,취소,불참,항공편결항,결항하다
결핵;결핵병,결핵균,결핵환자,결핵치료,결핵진단
결핵병;결핵,결핵환자,결핵증상,결핵증세,결핵병원
결행;행동,실행,이행,실천,행하다
결혼;혼인,결핍,연인,약혼,짝사랑
결혼관;혼례장,결혼식장,웨딩홀,결혼전문장,웨딩채플
결혼기;결혼시절,결혼생활,결혼생활기간,혼수

결혼기;혼수,결혼 시기,결혼 시절,결혼 생활
결혼기념일;결혼 기념일,웨딩데이,결혼 기념 날,기념일
결혼식;혼례식,웨딩,청혼,주례,결혼 의식
결혼식장;혼례장,웨딩홀,청첩장,결혼장,웨딩채플
결혼율;결혼률,혼인율,혼인 비율,결혼 비율
겸백;겸손함,겸손,겸손한,겸허한,겸손모드
겸비;병행,병용,동시에,겸업,쌍업
겸사;일겸,병행,겸직,병용,두 가지 일
겸사겸사;병행,병용,동시에,겸업,일겸
겸상;두 마리 토끼를 모두 잡다,다재다능,여러 가지 역할을 수행하다,다기능,다용도
겸손;겸손함,겸허,겸손한,겸손한 태도,굽실거리지 않는
